municipality,2014_VALUE,2018_VALUE,2022_VALUE,2026_VALUE,2014_PERCENT,2018_PERCENT,2022_PERCENT,2026_PERCENT
ITAOCARA,87,139,126,94,0.9739,1.6291,0.6599,0.8992
ITAPERUNA,657,314,353,304,1.239,0.6129,0.5787,0.6189
ITATIAIA,0,120,1,1,0.0,0.6645,0.0108,0.0094
JAPERI,2,34,892,629,0.0081,0.0764,1.4453,1.372
LAJE DO MURIAE,157,13,4,6,4.8904,0.2524,0.1055,0.1456
MACAE,10731,6916,18092,16490,12.0177,9.5568,19.0946,11.8496
MACUCO,839,1565,6,8,25.5057,44.8955,0.1944,0.1952
MAGE,98,83,65,81,0.1266,0.1243,0.0356,0.0381
MANGARATIBA,2,7,1,1,0.0182,0.0285,0.0,0.0
MARICA,24,21,54,54,0.0363,0.0291,0.0404,0.0365
MENDES,0,0,0,0,0.0,0.0,0.0,0.0
MESQUITA,8,13,28,40,0.0104,0.011,0.0302,0.0228
MIGUEL PEREIRA,6,8,8,6,0.0487,0.0554,0.0438,0.0509
MIRACEMA,20,22,23,26,0.2931,0.1076,0.1356,0.1312
NATIVIDADE,92,18,163,219,1.2239,0.3253,1.9828,2.6079
NILOPOLIS,3,9,111,109,0.0115,0.0088,0.1337,0.1033
NITEROI,383,209,250,185,0.2358,0.0889,0.0719,0.1049
NOVA FRIBURGO,1544,440,573,543,1.9976,0.481,0.5013,0.5308
NOVA IGUACU,178,339,181,235,0.0376,0.0747,0.0647,0.063
PARACAMBI,8,1,18,19,0.052,0.0,0.1031,0.0666
PARAIBA DO SUL,0,9,31,28,0.0,0.0485,0.0976,0.129
PARATY,3,0,9,9,0.0073,0.0,0.0419,0.0304
PATY DO ALFERES,0,3,1,1,0.0,0.0117,0.0072,0.0078
PETROPOLIS,3,9,195,193,0.0,0.0101,0.1903,0.1296
PINHEIRAL,0,0,0,0,0.0,0.0,0.0,0.0
PIRAI,0,9,2,2,0.0,0.0809,0.0105,0.0087
PORCIUNCULA,85,66,81,85,1.3674,0.4991,1.1929,0.8001
PORTO REAL,0,4,49,75,0.0,0.037,0.5857,0.4537
QUATIS,0,6,9,16,0.0,0.0534,0.1753,0.1531
QUEIMADOS,4,5,7,6,0.0101,0.007,0.0122,0.0091
QUISSAMA,416,785,1473,1551,4.2784,6.9138,8.1443,9.5804
RESENDE,8,197,7,5,0.0085,0.2809,0.0098,0.0116
RIO BONITO,25,3,130,122,0.1064,0.0076,0.266,0.3941
RIO CLARO,0,1,0,0,0.0,0.0219,0.0,0.0
RIO DAS FLORES,0,0,0,0,0.0,0.0,0.0,0.0
RIO DAS OSTRAS,290,1197,1404,2111,0.6634,2.4068,1.8882,1.8313
RIO DE JANEIRO,786,368,1882,2943,0.0276,0.0117,0.0809,0.0871
SANTA MARIA MADALENA,640,670,352,268,17.2814,9.0813,5.234,5.4157
SANTO ANTONIO DE PADUA,592,313,81,75,3.0491,1.749,0.394,0.3625
SAO FIDELIS,182,566,43,48,0.8966,3.6311,0.1829,0.1722
SAO FRANCISCO DE ITABAPOANA,45,298,80,118,0.1902,1.6283,0.4224,0.4962
SAO GONCALO,2575,1066,401,653,0.8068,0.1862,0.0883,0.1367
SAO JOAO DA BARRA,15,18,62,88,0.0488,0.0887,0.245,0.2822
SAO JOAO DE MERITI,69,19,58,55,0.0302,0.0098,0.0141,0.0214
SAO JOSE DE UBA,74,7,15,15,1.1008,0.1703,0.2619,0.2546
SAO JOSE DO VALE DO RIO PRETO,0,26,3,4,0.0,0.2538,0.0211,0.0383
SAO PEDRO DA ALDEIA,871,27,150,184,3.2453,0.0872,0.4198,0.3096
SAO SEBASTIAO DO ALTO,509,60,90,108,14.4168,0.7815,1.7291,1.3579
SAPUCAIA,17,456,7,9,0.1894,3.7,0.0963,0.0955
SAQUAREMA,10,63,15,21,0.0182,0.1115,0.0475,0.0481
SEROPEDICA,0,2,9,11,0.0,0.0106,0.0211,0.0246
SILVA JARDIM,132,19,146,250,1.4905,0.1518,1.7109,1.2618
SUMIDOURO,108,1098,250,205,1.4814,10.6581,1.9345,2.16
TANGUA,484,14,209,258,4.9031,0.0768,1.744,1.4536
TERESOPOLIS,33,676,144,115,0.0503,0.8488,0.1688,0.1381
TRAJANO DE MORAES,1171,765,168,185,27.0943,15.718,2.6222,2.7243
TRES RIOS,7,43,2,2,0.024,0.0605,0.0,0.0
VALENCA,0,1,1,1,0.0,0.0,0.0,0.0
VARRE-SAI,29,4,13,8,0.7095,0.0703,0.1891,0.2157
VASSOURAS,0,23,15,12,0.0,0.1679,0.093,0.0764
VOLTA REDONDA,13,7,5,7,0.0084,0.0,0.0,0.0
